,estimator,T,value,measure,design
0,GFE,5,-0.5692591740774657,Bias,"N=1000, gamma=1"
1,GFE,10,-0.20430403264698627,Bias,"N=1000, gamma=1"
2,GFE,15,-0.11925207403538807,Bias,"N=1000, gamma=1"
3,GFE,20,-0.08837846500182911,Bias,"N=1000, gamma=1"
4,GFE,25,-0.06961828474040399,Bias,"N=1000, gamma=1"
5,GFE,30,-0.05468835528078386,Bias,"N=1000, gamma=1"
6,GFE,50,-0.03226163728902942,Bias,"N=1000, gamma=1"
0,FE,5,-0.8340353931885578,Bias,"N=1000, gamma=1"
1,FE,10,-0.4153010592094133,Bias,"N=1000, gamma=1"
2,FE,15,-0.28037493279352377,Bias,"N=1000, gamma=1"
3,FE,20,-0.2105937231358611,Bias,"N=1000, gamma=1"
4,FE,25,-0.16921600932716596,Bias,"N=1000, gamma=1"
5,FE,30,-0.14038246795146958,Bias,"N=1000, gamma=1"
6,FE,50,-0.08538385634020007,Bias,"N=1000, gamma=1"
0,GFE,5,0.056255388823747136,Standard deviation,"N=1000, gamma=1"
1,GFE,10,0.04035725590755417,Standard deviation,"N=1000, gamma=1"
2,GFE,15,0.03331547572758088,Standard deviation,"N=1000, gamma=1"
3,GFE,20,0.027698012630985796,Standard deviation,"N=1000, gamma=1"
4,GFE,25,0.024479297797803803,Standard deviation,"N=1000, gamma=1"
5,GFE,30,0.022569812219621132,Standard deviation,"N=1000, gamma=1"
6,GFE,50,0.017092852734553007,Standard deviation,"N=1000, gamma=1"
0,FE,5,0.06107018144712224,Standard deviation,"N=1000, gamma=1"
1,FE,10,0.04133447960905106,Standard deviation,"N=1000, gamma=1"
2,FE,15,0.031751657719609534,Standard deviation,"N=1000, gamma=1"
3,FE,20,0.02684367141975002,Standard deviation,"N=1000, gamma=1"
4,FE,25,0.023794307435040594,Standard deviation,"N=1000, gamma=1"
5,FE,30,0.021727061541000223,Standard deviation,"N=1000, gamma=1"
6,FE,50,0.016800955100190276,Standard deviation,"N=1000, gamma=1"
0,GFE,5,0.5720320585798224,Root MSE,"N=1000, gamma=1"
1,GFE,10,0.20825188080833423,Root MSE,"N=1000, gamma=1"
2,GFE,15,0.12381832693384573,Root MSE,"N=1000, gamma=1"
3,GFE,20,0.09261713113558302,Root MSE,"N=1000, gamma=1"
4,GFE,25,0.07379662316711741,Root MSE,"N=1000, gamma=1"
5,GFE,30,0.05916259482938691,Root MSE,"N=1000, gamma=1"
6,GFE,50,0.03650998295225581,Root MSE,"N=1000, gamma=1"
0,FE,5,0.8362682608787545,Root MSE,"N=1000, gamma=1"
1,FE,10,0.4173529788859925,Root MSE,"N=1000, gamma=1"
2,FE,15,0.28216709713734556,Root MSE,"N=1000, gamma=1"
3,FE,20,0.21229766583623857,Root MSE,"N=1000, gamma=1"
4,FE,25,0.1708807387593018,Root MSE,"N=1000, gamma=1"
5,FE,30,0.14205387186328922,Root MSE,"N=1000, gamma=1"
6,FE,50,0.08702111821737603,Root MSE,"N=1000, gamma=1"
0,GFE,5,1.114038226415098,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
1,GFE,10,0.9834840897494758,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
2,GFE,15,0.9505904935857511,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
3,GFE,20,0.9810021456049083,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
4,GFE,25,0.987226204443217,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
5,GFE,30,0.9737485317464054,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
6,GFE,50,0.9898919658843931,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
0,FE,5,1.1209743094202114,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
1,FE,10,1.008137479881756,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
2,FE,15,1.0302110200335646,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
3,FE,20,1.0353581522513229,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
4,FE,25,1.033621264230322,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
5,FE,30,1.0264101000798413,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
6,FE,50,1.0156569097131831,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
0,GFE,5,-0.5350845623929149,Bias,"N=100, gamma=1"
1,GFE,10,-0.20259979637591552,Bias,"N=100, gamma=1"
2,GFE,15,-0.12754880545554603,Bias,"N=100, gamma=1"
3,GFE,20,-0.08571980580013405,Bias,"N=100, gamma=1"
4,GFE,25,-0.07133163126678899,Bias,"N=100, gamma=1"
5,GFE,30,-0.052378342148083123,Bias,"N=100, gamma=1"
6,GFE,50,-0.030815059281331214,Bias,"N=100, gamma=1"
0,FE,5,-0.8418758703384703,Bias,"N=100, gamma=1"
1,FE,10,-0.4140021374688836,Bias,"N=100, gamma=1"
2,FE,15,-0.28590878567923905,Bias,"N=100, gamma=1"
3,FE,20,-0.21007121304761334,Bias,"N=100, gamma=1"
4,FE,25,-0.17363235110346764,Bias,"N=100, gamma=1"
5,FE,30,-0.139324226595527,Bias,"N=100, gamma=1"
6,FE,50,-0.08521170258810706,Bias,"N=100, gamma=1"
0,GFE,5,0.19930471034666314,Standard deviation,"N=100, gamma=1"
1,GFE,10,0.12070025566751372,Standard deviation,"N=100, gamma=1"
2,GFE,15,0.10337570347571441,Standard deviation,"N=100, gamma=1"
3,GFE,20,0.08525264127344631,Standard deviation,"N=100, gamma=1"
4,GFE,25,0.07328822854444304,Standard deviation,"N=100, gamma=1"
5,GFE,30,0.06926468709842033,Standard deviation,"N=100, gamma=1"
6,GFE,50,0.05451849478678639,Standard deviation,"N=100, gamma=1"
0,FE,5,0.2048839271670679,Standard deviation,"N=100, gamma=1"
1,FE,10,0.12452880530917018,Standard deviation,"N=100, gamma=1"
2,FE,15,0.10209011648642545,Standard deviation,"N=100, gamma=1"
3,FE,20,0.08341718200773146,Standard deviation,"N=100, gamma=1"
4,FE,25,0.07306960091444044,Standard deviation,"N=100, gamma=1"
5,FE,30,0.06884008698682001,Standard deviation,"N=100, gamma=1"
6,FE,50,0.053926290051169806,Standard deviation,"N=100, gamma=1"
